"full_name","team","age","position","goals_overall","assists_overall"
"Tan Chun Lok","Hong_Kong",28,"Midfielder",0,0
"Tsun Dai","China",25,"Midfielder",0,0
"Tsz Chun Law","Hong_Kong",27,"Defender",0,0
"Tze Nam Yue","Hong_Kong",25,"Midfielder",0,0
"Vasudeva Das Lilley Nunez","Hong_Kong",28,"Defender",0,0
"Wai Him Ng","Hong_Kong",22,"Goalkeeper",0,0
"Wai Wong","Hong_Kong",31,"Midfielder",0,0
"Ying Zhi Ju","Hong_Kong",37,"Midfielder",0,0
"Akash Mishra","India",22,"Defender",0,0
"Amrinder Singh","India",31,"Goalkeeper",0,0
"Anirudh Thapa","India",26,"Midfielder",0,0
"Brandon Fernandes","India",29,"Midfielder",0,0
"Deepak Tangri","India",25,"Defender",0,0
"Gurpreet Singh Sandhu","India",32,"Goalkeeper",0,0
"Lalengmawia Lalengmawia","India",23,"Midfielder",0,0
"Lallianzuala Chhangte","India",26,"Forward",0,0
"Liston Colaco","India",25,"Forward",0,0
"Manvir Singh","India",28,"Forward",0,0
"Mehtab Singh","India",26,"Defender",0,0
"Naorem Mahesh Singh","India",22,"Forward",0,0
"Nikhil Poojari","India",28,"Forward",0,0
"Pritam Kotal","India",30,"Defender",0,0
"Rahul Bheke","India",33,"Defender",0,0
"Rahul Kannoly Praveen","India",24,"Midfielder",0,0
"Sandesh Jhingan","India",31,"Defender",0,0
"Subashish Bose","India",28,"Defender",0,0
"Sunil Chhetri","India",40,"Forward",0,0
"Suresh Singh Wangjam","India",23,"Midfielder",0,0
"Udanta Kumam Singh","India",28,"Forward",0,0
"Vikram Pratap Singh","India",22,"Forward",0,0
"Vishal Kaith","India",28,"Goalkeeper",0,0
"Adam Alis Setyano","Indonesia",30,"Midfielder",0,0
"Asnawi Mangkualam Bahar","Indonesia",24,"Midfielder",1,0
"Dendi Sulistyawan","Indonesia",27,"Forward",0,0
"Edo Febriansyah","Indonesia",27,"Forward",0,0
"Egy Maulana Vikri","Indonesia",24,"Midfielder",0,0
"Ernando Ari Sutaryadi","Indonesia",22,"Goalkeeper",0,0
"Marselino Ferdinan","Indonesia",19,"Forward",1,0
"Muhammad Dimas Drajad","Indonesia",27,"Forward",0,0
"Muhammad Riyandi","Indonesia",24,"Goalkeeper",0,0
"Nadeo Argawinata","Indonesia",27,"Goalkeeper",0,0
"Pratama Arhan","Indonesia",23,"Defender",0,0
"Ricky Kambuaya","Indonesia",28,"Midfielder",0,0
"Rizky Ridho Ramadhani","Indonesia",23,"Defender",0,0
"Wahyu Prasetyo","Indonesia",26,"Defender",0,0
"Witan Sulaeman","Indonesia",22,"Midfielder",0,0
"Ali Gholizadeh","Iran",28,"Midfielder",0,0
"Alireza Jahanbakhsh","Iran",30,"Forward",2,1
"Alireza Safar Beiranvand","Iran",31,"Goalkeeper",0,0
"Aria Yousefi","Iran",22,"Forward",0,0
"Ehsan Hajsafi","Iran",34,"Midfielder",0,0
"Karim Ansarifard","Iran",34,"Forward",1,0
"Mehdi Ghayedi","Iran",25,"Midfielder",2,0
"Mehdi Taremi","Iran",32,"Forward",3,0
"Mehdi Torabi","Iran",29,"Midfielder",0,0
"Milad Mohammadi","Iran",30,"Defender",0,1
"Mohammadhossein Kanani Zadegan","Iran",30,"Defender",0,0
"Omid Ebrahimi","Iran",36,"Midfielder",0,0
"Payam Niazmand","Iran",29,"Goalkeeper",0,0
"Ramin Rezaeian","Iran",34,"Defender",0,0
"Reza Asadi","Iran",28,"Midfielder",0,0
"Rouzbeh Cheshmi","Iran",31,"Defender",0,0
"Sadegh Moharrami","Iran",28,"Midfielder",0,0
"Saeid Ezatolahi Afagh","Iran",27,"Midfielder",0,0
"Saman Ghoddos","Iran",30,"Midfielder",0,2
"Sardar Azmoun","Iran",29,"Forward",2,3
"Seyed Hossein Hosseini","Iran",32,"Goalkeeper",0,0
"Seyed Majid Hosseini","Iran",28,"Defender",0,0
"Shoja Khalilzadeh","Iran",35,"Defender",1,0
"Ahmed Basil Fadhil","Iraq",27,"Goalkeeper",0,0
"Ahmed Yahya Mhmood Al-Hajjaj","Iraq",29,"Midfielder",0,1
"Akam Hashim Rahman","Iraq",25,"Midfielder",0,0
"Ali Adnan Kadhim Al Tameemi","Iraq",30,"Defender",0,0
"Ali Jasim Elaibi Al Tameemi","Iraq",20,"Midfielder",0,3
"Allan Kawa Omeer","Iraq",30,"Midfielder",0,0
"Aymen Hussein","Iraq",28,"Forward",6,0
"Bashar Rasan Bonyan","Iraq",27,"Midfielder",0,0
"Fahad Talib Raheem","Iraq",29,"Goalkeeper",0,0
"Ibraheem Bayesh","Iraq",24,"Midfielder",0,0
"Jalal Hassan Hachim","Iraq",33,"Goalkeeper",0,0
"Merchas Doski","Iraq",24,"Midfielder",0,0
"Muhanad Ali","Iraq",24,"Forward",1,0
"Osama Rashid","Iraq",32,"Midfielder",1,0
"Rebin Ghareeb Solaka Adhamat","Iraq",32,"Defender",1,0
"Saad Natiq Naji","Iraq",30,"Defender",1,0
"Zidane Iqbal","Iraq",21,"Midfielder",0,0
"Amid Mhagna","Palestine",27,"Defender",0,0
"Jaber Ata'a","Palestine",29,"Midfielder",0,0
"Ayase Ueda","Japan",25,"Forward",5,0
"Daiya Maekawa","Japan",29,"Goalkeeper",0,0
"Daizen Maeda","Japan",26,"Forward",0,0
"Hidemasa Morita","Japan",29,"Midfielder",1,0
"Hiroki Ito","Japan",25,"Defender",0,0
"Junya Ito","Japan",31,"Forward",0,0
"Kaishu Sano","Japan",23,"Midfielder",0,0
"Kaoru Mitoma","Japan",27,"Forward",0,0
"Keito Nakamura","Japan",24,"Forward",1,0
"Ko Itakura","Japan",27,"Defender",0,0
"Koki Machida","Japan",26,"Defender",0,0
"Mao Hosoya","Japan",22,"Forward",0,0
"Reo Hatate","Japan",26,"Midfielder",0,1
"Ritsu Doan","Japan",26,"Forward",1,1
"Seiya Maikuma","Japan",26,"Defender",0,1
"Shogo Taniguchi","Japan",33,"Midfielder",0,0
"Taishi Brandon Nozawa","Japan",22,"Goalkeeper",0,0
"Takefusa Kubo","Japan",23,"Forward",1,1
"Takehiro Tomiyasu","Japan",25,"Defender",0,0
"Takuma Asano","Japan",29,"Forward",0,0
