"full_name","team","age","position","goals_overall","assists_overall"
"Thaer Krouma","Syria",34,"Midfielder",0,0
"Akhtam Nazarov","Tajikistan",31,"Defender",0,0
"Alisher Shukurov","Tajikistan",22,"Midfielder",0,0
"Daler Barotov","Tajikistan",25,"Goalkeeper",0,0
"Daler Imomnazarov","Tajikistan",29,"Defender",0,0
"Ehsoni Panshanbe","Tajikistan",25,"Midfielder",0,1
"Hasan Muhammadjon","Tajikistan",25,"Forward",0,0
"Komron Tursunov","Tajikistan",28,"Forward",0,0
"Manucher Safarov","Tajikistan",23,"Defender",0,0
"Muhammadali Azizboev","Tajikistan",21,"Forward",0,0
"Nuriddin Hamroqulov","Tajikistan",25,"Forward",0,0
"Parvizchon Umarbaev","Tajikistan",29,"Midfielder",1,0
"Rustam Yatimov","Tajikistan",26,"Goalkeeper",0,0
"Shahrom Samiev","Tajikistan",23,"Midfielder",0,0
"Shervoni Mabatshoev","Tajikistan",23,"Midfielder",0,0
"Sodiqjon Qurbonov","Tajikistan",21,"Midfielder",0,0
"Tabrezi Davlatmir","Tajikistan",26,"Defender",0,0
"Vahdat Hanonov","Tajikistan",24,"Defender",2,0
"Vaysiddin Safarov","Tajikistan",28,"Midfielder",0,0
"Zoir Jurabaev","Tajikistan",25,"Midfielder",0,1
"Yahya Alghassani","UAE",26,"Forward",2,0
"Bordin Phala","Thailand",29,"Midfielder",0,0
"Jakkaphan Praisuwan","Thailand",29,"Defender",0,0
"Jaroensak Vongkorn","Thailand",37,"Forward",0,0
"Kritsada Kaman","Thailand",25,"Forward",0,0
"Pansa Hemviboon","Thailand",34,"Defender",0,0
"Pathompol Charoenrattanapirom","Thailand",30,"Midfielder",0,0
"Patiwat Khammai","Thailand",29,"Goalkeeper",0,0
"Peeradon Chamratsamee","Thailand",31,"Midfielder",0,0
"Picha U-Tra","Thailand",28,"Midfielder",0,0
"Rungrath Poomchantuek","Thailand",32,"Midfielder",0,0
"Santipharp Channgom","Thailand",27,"Defender",0,0
"Sarach Yooyen","Thailand",32,"Midfielder",0,0
"Saranon Anuin","Thailand",30,"Goalkeeper",0,0
"Siwarak Tedsungnoen","Thailand",40,"Goalkeeper",0,0
"Supachai Jaided","Thailand",25,"Forward",2,1
"Supachok Sarachart","Thailand",26,"Forward",1,0
"Suphan Thongsong","Thailand",29,"Defender",0,0
"Suphanan Bureerat","Thailand",30,"Defender",0,0
"Teerasak Poeiphimai","Thailand",21,"Forward",0,0
"Theerathon Bunmathan","Thailand",34,"Defender",0,0
"Worachit Kanitsribampen","Thailand",26,"Forward",0,0
"Abdelrahman Saleh Khamis","UAE",25,"Defender",0,0
"Abdulla Hamad Mohamed Salmeen Al Menhali","UAE",22,"Midfielder",0,0
"Abdulla Idrees","UAE",24,"Defender",0,0
"Ahmed Abdulla Jamil","UAE",25,"Defender",0,0
"Ali Ahmed Mabkhout Mohsen Omran Al Hajeri","UAE",33,"Forward",0,0
"Ali Hassan Salmeen Al Balushi","UAE",29,"Midfielder",0,0
"Ali Khaseif Humad Khaseif Housani","UAE",37,"Goalkeeper",0,0
"Ali Saleh","UAE",24,"Forward",0,2
"Bader Nasser Abaelaziz","UAE",22,"Defender",1,0
"Harib Abdalla Suhail Al Musharrkh Al Maazmi","UAE",21,"Forward",0,0
"Hassan Hamza Ali Hussain Almaazmi","UAE",29,"Goalkeeper",0,0
"Khaled Ebraheim Helal Ebraheim Aldhanhani","UAE",27,"Defender",0,0
"Khalid Essa Mohamed Bilal Saeed","UAE",34,"Goalkeeper",0,0
"Khalid Hashemi","UAE",27,"Defender",0,0
"Khalifa Alhammadi","UAE",25,"Defender",1,0
"Majid Rashid Al-Mehrzi","UAE",24,"Midfielder",0,0
"Mohamed Omar Zain Mohsen Zain Al Attas","UAE",26,"Defender",0,0
"Tahnoon Alzaabi","UAE",25,"Midfielder",0,0
"Zayed Sultan Ahmed Jassim Ibrahim Al Zaabi","UAE",23,"Midfielder",1,0
"Abbosbek Fayzullayev","Uzbekistan",20,"Midfielder",2,0
"Abdukodir Khusanov","Uzbekistan",20,"Midfielder",0,0
"Abdulla Abdullayev","Uzbekistan",26,"Midfielder",0,0
"Abduvohid Nematov","Uzbekistan",23,"Goalkeeper",0,0
"Azizbek Amonov","Uzbekistan",26,"Forward",0,0
"Azizbek Turgunbayev","Uzbekistan",29,"Midfielder",2,0
"Bobur Abdukhalikov","Uzbekistan",27,"Forward",0,0
"Botirali Ergashev","Uzbekistan",29,"Goalkeeper",0,0
"Diyor Kholmatov","Uzbekistan",22,"Midfielder",0,1
"Djamshid Iskandarov","Uzbekistan",30,"Midfielder",0,0
"Farrux Sayfiyev","Uzbekistan",33,"Midfielder",0,0
"Igor Sergeev","Uzbekistan",31,"Forward",1,0
"Jaloliddin Masharipov","Uzbekistan",30,"Midfielder",0,2
"Jamshid Boltaboev","Uzbekistan",27,"Midfielder",0,0
"Khodjiakbar Alidjanov","Uzbekistan",27,"Defender",0,0
"Muhammadqodir Khamraliyev","Uzbekistan",23,"Defender",0,0
"Odiljon Khamrobekov","Uzbekistan",28,"Midfielder",1,0
"Oston Urunov","Uzbekistan",23,"Midfielder",0,1
"Otabek Shukurov","Uzbekistan",28,"Midfielder",0,1
"Rustamjon Ashurmatov","Uzbekistan",28,"Defender",0,0
"Shahboz Umarov","Uzbekistan",25,"Forward",0,0
"Sherzod Nasrullayev","Uzbekistan",26,"Defender",1,0
"Umar Eshmuradov","Uzbekistan",31,"Defender",0,0
"Utkir Yusupov","Uzbekistan",33,"Goalkeeper",0,0
"Zafarmurod Abdirahmatov","Uzbekistan",21,"Midfielder",0,0
"Nguyen Hai Long","Vietnam",23,"Midfielder",0,0
"Do Hung Dung","Vietnam",30,"Midfielder",0,1
"Le Pham Thanh Long","Vietnam",28,"Midfielder",0,0
"Nguyen Quang Hai","Vietnam",27,"Midfielder",1,0
"Ho Tan Tai","Vietnam",26,"Defender",0,0
"Nguyen Thai Son","Vietnam",21,"Midfielder",0,0
"Nguyen Thanh Binh","Vietnam",23,"Defender",0,1
"Truong Tien Anh","Vietnam",25,"Forward",0,0
"Vo Minh Trong","Vietnam",22,"Midfielder",0,0
"Nguyen Tuan Anh","Vietnam",29,"Midfielder",0,0
"Giap Tuan Duong","Vietnam",21,"Midfielder",0,0
"Phan Tuan Tai","Vietnam",23,"Defender",0,0
"Khuat Van Khang","Vietnam",21,"Forward",0,1
"Vu Van Thanh","Vietnam",28,"Midfielder",0,0
"Nguyen Van Toan","Vietnam",28,"Forward",0,0
"Nguyen Van Truong","Vietnam",20,"Forward",0,0
"Nguyen Van Tung","Vietnam",23,"Midfielder",0,0
"Nguyen Van Viet","Vietnam",22,"Midfielder",0,0
"Bui Hoang Viet Anh","Vietnam",25,"Defender",1,0
"Pham Xuan Manh","Vietnam",28,"Forward",0,0
"Nguyen Dinh Bac","Vietnam",19,"Midfielder",1,0
"Nguyen Dinh Trieu","Vietnam",32,"Midfielder",0,0
"Gethin Jones","Australia",28,"Defender",0,1



