"full_name","Current.Club","position","age_group","game_impact"
"Yahya Alghassani","UAE","Forward","21-25",2
"Bordin Phala","Thailand","Midfielder","26-30",0
"Jakkaphan Praisuwan","Thailand","Defender","26-30",0
"Jaroensak Vongkorn","Thailand","Forward","36-40",0
"Kritsada Kaman","Thailand","Forward","21-25",0
"Pansa Hemviboon","Thailand","Defender","31-35",0
"Pathompol Charoenrattanapirom","Thailand","Midfielder","26-30",0
"Patiwat Khammai","Thailand","Goalkeeper","26-30",0
"Peeradon Chamratsamee","Thailand","Midfielder","26-30",0
"Picha U-Tra","Thailand","Midfielder","26-30",0
"Rungrath Poomchantuek","Thailand","Midfielder","31-35",0
"Santipharp Channgom","Thailand","Defender","26-30",0
"Sarach Yooyen","Thailand","Midfielder","31-35",0
"Saranon Anuin","Thailand","Goalkeeper","26-30",0
"Siwarak Tedsungnoen","Thailand","Goalkeeper","36-40",0
"Supachai Jaided","Thailand","Forward","21-25",3
"Supachok Sarachart","Thailand","Forward","21-25",1
"Suphan Thongsong","Thailand","Defender","26-30",0
"Suphanan Bureerat","Thailand","Defender","26-30",0
"Teerasak Poeiphimai","Thailand","Forward","16-20",0
"Theerathon Bunmathan","Thailand","Defender","31-35",0
"Worachit Kanitsribampen","Thailand","Forward","21-25",0
"Abdelrahman Saleh Khamis","UAE","Defender","21-25",0
"Abdulla Hamad Mohamed Salmeen Al Menhali","UAE","Midfielder","21-25",0
"Abdulla Idrees","UAE","Defender","21-25",0
"Ahmed Abdulla Jamil","UAE","Defender","21-25",0
"Ali Ahmed Mabkhout Mohsen Omran Al Hajeri","UAE","Forward","31-35",0
"Ali Hassan Salmeen Al Balushi","UAE","Midfielder","26-30",0
"Ali Khaseif Humad Khaseif Housani","UAE","Goalkeeper","36-40",0
"Ali Saleh","UAE","Forward","21-25",2
"Bader Nasser Abaelaziz","UAE","Defender","21-25",1
"Harib Abdalla Suhail Al Musharrkh Al Maazmi","UAE","Forward","16-20",0
"Hassan Hamza Ali Hussain Almaazmi","UAE","Goalkeeper","26-30",0
"Khaled Ebraheim Helal Ebraheim Aldhanhani","UAE","Defender","26-30",0
"Khalid Essa Mohamed Bilal Saeed","UAE","Goalkeeper","31-35",0
"Khalid Hashemi","UAE","Defender","26-30",0
"Khalifa Alhammadi","UAE","Defender","21-25",1
"Majid Rashid Al-Mehrzi","UAE","Midfielder","21-25",0
"Mohamed Omar Zain Mohsen Zain Al Attas","UAE","Defender","21-25",0
"Tahnoon Alzaabi","UAE","Midfielder","21-25",0
"Zayed Sultan Ahmed Jassim Ibrahim Al Zaabi","UAE","Midfielder","21-25",1
"Abbosbek Fayzullayev","Uzbekistan","Midfielder","16-20",2
"Abdukodir Khusanov","Uzbekistan","Midfielder","16-20",0
"Abdulla Abdullayev","Uzbekistan","Midfielder","21-25",0
"Abduvohid Nematov","Uzbekistan","Goalkeeper","21-25",0
"Azizbek Amonov","Uzbekistan","Forward","21-25",0
"Azizbek Turgunbayev","Uzbekistan","Midfielder","26-30",2
"Bobur Abdukhalikov","Uzbekistan","Forward","26-30",0
"Botirali Ergashev","Uzbekistan","Goalkeeper","26-30",0
"Diyor Kholmatov","Uzbekistan","Midfielder","21-25",1
"Djamshid Iskandarov","Uzbekistan","Midfielder","26-30",0
"Farrux Sayfiyev","Uzbekistan","Midfielder","31-35",0
"Igor Sergeev","Uzbekistan","Forward","26-30",1
"Jaloliddin Masharipov","Uzbekistan","Midfielder","26-30",2
"Jamshid Boltaboev","Uzbekistan","Midfielder","26-30",0
"Khodjiakbar Alidjanov","Uzbekistan","Defender","26-30",0
"Muhammadqodir Khamraliyev","Uzbekistan","Defender","21-25",0
"Odiljon Khamrobekov","Uzbekistan","Midfielder","26-30",1
"Oston Urunov","Uzbekistan","Midfielder","21-25",1
"Otabek Shukurov","Uzbekistan","Midfielder","26-30",1
"Rustamjon Ashurmatov","Uzbekistan","Defender","26-30",0
"Shahboz Umarov","Uzbekistan","Forward","21-25",0
"Sherzod Nasrullayev","Uzbekistan","Defender","21-25",1
"Umar Eshmuradov","Uzbekistan","Defender","26-30",0
"Utkir Yusupov","Uzbekistan","Goalkeeper","31-35",0
"Zafarmurod Abdirahmatov","Uzbekistan","Midfielder","16-20",0
"Nguyen Hai Long","Vietnam","Midfielder","21-25",0
"Do Hung Dung","Vietnam","Midfielder","26-30",1
"Le Pham Thanh Long","Vietnam","Midfielder","26-30",0
"Nguyen Quang Hai","Vietnam","Midfielder","26-30",1
"Ho Tan Tai","Vietnam","Defender","21-25",0
"Nguyen Thai Son","Vietnam","Midfielder","16-20",0
"Nguyen Thanh Binh","Vietnam","Defender","21-25",1
"Truong Tien Anh","Vietnam","Forward","21-25",0
"Vo Minh Trong","Vietnam","Midfielder","21-25",0
"Nguyen Tuan Anh","Vietnam","Midfielder","26-30",0
"Giap Tuan Duong","Vietnam","Midfielder","16-20",0
"Phan Tuan Tai","Vietnam","Defender","21-25",0
"Khuat Van Khang","Vietnam","Forward","16-20",1
"Vu Van Thanh","Vietnam","Midfielder","26-30",0
"Nguyen Van Toan","Vietnam","Forward","26-30",0
"Nguyen Van Truong","Vietnam","Forward","16-20",0
"Nguyen Van Tung","Vietnam","Midfielder","21-25",0
"Nguyen Van Viet","Vietnam","Midfielder","21-25",0
"Bui Hoang Viet Anh","Vietnam","Defender","21-25",1
"Pham Xuan Manh","Vietnam","Forward","26-30",0
"Nguyen Dinh Bac","Vietnam","Midfielder","16-20",1
"Nguyen Dinh Trieu","Vietnam","Midfielder","31-35",0
"Gethin Jones","Australia","Defender","26-30",1
