"full_name","Current.Club","position","age_group","game_impact"
"Vasudeva Das Lilley Nunez","Hong Kong","Defender","26-30",0
"Wai Him Ng","Hong Kong","Goalkeeper","21-25",0
"Wai Wong","Hong Kong","Midfielder","26-30",0
"Ying Zhi Ju","Hong Kong","Midfielder","36-40",0
"Akash Mishra","India","Defender","21-25",0
"Amrinder Singh","India","Goalkeeper","26-30",0
"Anirudh Thapa","India","Midfielder","21-25",0
"Brandon Fernandes","India","Midfielder","26-30",0
"Deepak Tangri","India","Defender","21-25",0
"Gurpreet Singh Sandhu","India","Goalkeeper","31-35",0
"Lalengmawia Lalengmawia","India","Midfielder","21-25",0
"Lallianzuala Chhangte","India","Forward","21-25",0
"Liston Colaco","India","Forward","21-25",0
"Manvir Singh","India","Forward","26-30",0
"Mehtab Singh","India","Defender","21-25",0
"Naorem Mahesh Singh","India","Forward","21-25",0
"Nikhil Poojari","India","Forward","26-30",0
"Pritam Kotal","India","Defender","26-30",0
"Rahul Bheke","India","Defender","31-35",0
"Rahul Kannoly Praveen","India","Midfielder","21-25",0
"Sandesh Jhingan","India","Defender","26-30",0
"Subashish Bose","India","Defender","26-30",0
"Sunil Chhetri","India","Forward","36-40",0
"Suresh Singh Wangjam","India","Midfielder","21-25",0
"Udanta Kumam Singh","India","Forward","26-30",0
"Vikram Pratap Singh","India","Forward","21-25",0
"Vishal Kaith","India","Goalkeeper","26-30",0
"Adam Alis Setyano","Indonesia","Midfielder","26-30",0
"Asnawi Mangkualam Bahar","Indonesia","Midfielder","21-25",1
"Dendi Sulistyawan","Indonesia","Forward","26-30",0
"Edo Febriansyah","Indonesia","Forward","26-30",0
"Egy Maulana Vikri","Indonesia","Midfielder","21-25",0
"Ernando Ari Sutaryadi","Indonesia","Goalkeeper","21-25",0
"Marselino Ferdinan","Indonesia","Forward","16-20",1
"Muhammad Dimas Drajad","Indonesia","Forward","26-30",0
"Muhammad Riyandi","Indonesia","Goalkeeper","21-25",0
"Nadeo Argawinata","Indonesia","Goalkeeper","26-30",0
"Pratama Arhan","Indonesia","Defender","21-25",0
"Ricky Kambuaya","Indonesia","Midfielder","26-30",0
"Rizky Ridho Ramadhani","Indonesia","Defender","21-25",0
"Wahyu Prasetyo","Indonesia","Defender","21-25",0
"Witan Sulaeman","Indonesia","Midfielder","21-25",0
"Ali Gholizadeh","Iran","Midfielder","26-30",0
"Alireza Jahanbakhsh","Iran","Forward","26-30",3
"Alireza Safar Beiranvand","Iran","Goalkeeper","26-30",0
"Aria Yousefi","Iran","Forward","21-25",0
"Ehsan Hajsafi","Iran","Midfielder","31-35",0
"Karim Ansarifard","Iran","Forward","31-35",1
"Mehdi Ghayedi","Iran","Midfielder","21-25",2
"Mehdi Taremi","Iran","Forward","31-35",3
"Mehdi Torabi","Iran","Midfielder","26-30",0
"Milad Mohammadi","Iran","Defender","26-30",1
"Mohammadhossein Kanani Zadegan","Iran","Defender","26-30",0
"Omid Ebrahimi","Iran","Midfielder","31-35",0
"Payam Niazmand","Iran","Goalkeeper","26-30",0
"Ramin Rezaeian","Iran","Defender","31-35",0
"Reza Asadi","Iran","Midfielder","26-30",0
"Rouzbeh Cheshmi","Iran","Defender","26-30",0
"Sadegh Moharrami","Iran","Midfielder","26-30",0
"Saeid Ezatolahi Afagh","Iran","Midfielder","26-30",0
"Saman Ghoddos","Iran","Midfielder","26-30",2
"Sardar Azmoun","Iran","Forward","26-30",5
"Seyed Hossein Hosseini","Iran","Goalkeeper","31-35",0
"Seyed Majid Hosseini","Iran","Defender","26-30",0
"Shoja Khalilzadeh","Iran","Defender","31-35",1
"Ahmed Basil Fadhil","Iraq","Goalkeeper","26-30",0
"Ahmed Yahya Mhmood Al-Hajjaj","Iraq","Midfielder","26-30",1
"Akam Hashim Rahman","Iraq","Midfielder","21-25",0
"Ali Adnan Kadhim Al Tameemi","Iraq","Defender","26-30",0
"Ali Jasim Elaibi Al Tameemi","Iraq","Midfielder","16-20",3
"Allan Kawa Omeer","Iraq","Midfielder","26-30",0
"Aymen Hussein","Iraq","Forward","26-30",6
"Bashar Rasan Bonyan","Iraq","Midfielder","26-30",0
"Fahad Talib Raheem","Iraq","Goalkeeper","26-30",0
"Ibraheem Bayesh","Iraq","Midfielder","21-25",0
"Jalal Hassan Hachim","Iraq","Goalkeeper","31-35",0
"Merchas Doski","Iraq","Midfielder","21-25",0
"Muhanad Ali","Iraq","Forward","21-25",1
"Osama Rashid","Iraq","Midfielder","31-35",1
"Rebin Ghareeb Solaka Adhamat","Iraq","Defender","31-35",1
"Saad Natiq Naji","Iraq","Defender","26-30",1
"Zidane Iqbal","Iraq","Midfielder","16-20",0
"Amid Mhagna","Palestine","Defender","26-30",0
"Jaber Ata'a","Palestine","Midfielder","26-30",0
"Ayase Ueda","Japan","Forward","21-25",5
"Daiya Maekawa","Japan","Goalkeeper","26-30",0
"Daizen Maeda","Japan","Forward","21-25",0
"Hidemasa Morita","Japan","Midfielder","26-30",1
"Hiroki Ito","Japan","Defender","21-25",0
"Junya Ito","Japan","Forward","26-30",0
"Kaishu Sano","Japan","Midfielder","21-25",0
"Kaoru Mitoma","Japan","Forward","26-30",0
"Keito Nakamura","Japan","Forward","21-25",1
"Ko Itakura","Japan","Defender","26-30",0
"Koki Machida","Japan","Defender","21-25",0
"Mao Hosoya","Japan","Forward","21-25",0
"Reo Hatate","Japan","Midfielder","21-25",1
"Ritsu Doan","Japan","Forward","21-25",2
"Seiya Maikuma","Japan","Defender","21-25",1
"Shogo Taniguchi","Japan","Midfielder","31-35",0
"Taishi Brandon Nozawa","Japan","Goalkeeper","21-25",0
"Takefusa Kubo","Japan","Forward","21-25",2
"Takehiro Tomiyasu","Japan","Defender","21-25",0
"Takuma Asano","Japan","Forward","26-30",0
"Takumi Minamino","Japan","Forward","26-30",3
"Tsuyoshi Watanabe","Japan","Defender","26-30",0
"Wataru Endo","Japan","Midfielder","26-30",2
"Yukinari Sugawara","Japan","Defender","21-25",0
"Yuta Nakayama","Japan","Defender","26-30",0
"Zion Suzuki","Japan","Goalkeeper","16-20",0
"Abdallah Ra'ed Alfakhori","Jordan","Goalkeeper","21-25",0
"Ahmad Mohannad Juaidi","Jordan","Goalkeeper","21-25",0
"Ali Iyad Olwan","Jordan","Forward","21-25",0
"Anas Hammad","Jordan","Midfielder","21-25",1
"Anas Walid Khaled Bani Yassen","Jordan","Defender","31-35",0
"Bara Sami Mousa Marie","Jordan","Defender","26-30",0
"Ehsan Manel Farhan Haddad","Jordan","Defender","26-30",1
"Fadi Mahmoud Awad Saleh","Jordan","Midfielder","26-30",0
"Feras Zeyad Yousef Shilbaya","Jordan","Midfielder","26-30",0
"Hamza Ali Khaled Al Dardoor","Jordan","Forward","31-35",0
"Ibrahim Mohammad Sami","Jordan","Midfielder","21-25",0
"Mahmoud Nayef Ahmad Al Mardi","Jordan","Midfielder","26-30",2
"Moussa Al Tamari","Jordan","Defender","26-30",4
"Nizar Mahmoud Al-Rashdan","Jordan","Midfielder","21-25",2
"Noor Al-Deen Mahmoud Ali Al Rawabdeh","Jordan","Midfielder","26-30",0
"Rajaei Ayed Fadel Hasan","Jordan","Midfielder","26-30",0
"Saleh Ibrahim Rateb","Jordan","Midfielder","26-30",1
"Salem Al Ajalin","Jordan","Defender","31-35",0
"Yazan Abdallah Alnaimat","Jordan","Forward","21-25",6
"Yazan Abo Alarab","Jordan","Defender","26-30",2
"Yazeed Moien Hasan Abu laila","Jordan","Goalkeeper","26-30",0
"Yousef Abdul Abu Jalboush","Jordan","Midfielder","21-25",0
"Youssef Jalbosh","Jordan","Midfielder","21-25",0
"Marsel Islamkulov","Kyrgyzstan","Goalkeeper","26-30",0
"Abdurakhmanov Odilzhon","Kyrgyzstan","Midfielder","26-30",0
"Adil Kadirjanov","Kyrgyzstan","Midfielder","21-25",0
"Aizar Akmatov","Kyrgyzstan","Defender","21-25",0
"Amantur Shamurzaev","Kyrgyzstan","Midfielder","21-25",0
"Atay Dzhumashev","Kyrgyzstan","Forward","21-25",0
"Azim Azarov","Kyrgyzstan","Midfielder","26-30",0
"Bakhtiyar Duyshobekov","Kyrgyzstan","Forward","26-30",0
"Beknaz Almazbekov","Kyrgyzstan","Forward","16-20",0
"Bekzhan Sagynbaev","Kyrgyzstan","Midfielder","26-30",0
"Christian Brauzman","Kyrgyzstan","Defender","16-20",0
"Dastanbek Toktosunov","Kyrgyzstan","Midfielder","16-20",0
"Ernest Batyrkanov","Kyrgyzstan","Midfielder","21-25",0
"Erzhan Tokotaev","Kyrgyzstan","Goalkeeper","21-25",0
"Farkhat Musabekov","Kyrgyzstan","Midfielder","26-30",0
"Gulzhigit Alykulov","Kyrgyzstan","Midfielder","21-25",0
"Kayrat Zhyrgalbek Uulu","Kyrgyzstan","Midfielder","26-30",0
"Suiuntbek Mamyraliev","Kyrgyzstan","Midfielder","21-25",0
"Sultan Chomoev","Kyrgyzstan","Goalkeeper","16-20",0
"Tamirlan Kozubaev","Kyrgyzstan","Defender","26-30",0
"Ali Al Haj","Lebanon","Midfielder","21-25",0
"Ali Al Sabaa","Lebanon","Goalkeeper","26-30",0
"Bassel Jradi","Lebanon","Midfielder","26-30",1
"Hassan Maatouk","Lebanon","Midfielder","31-35",0
"Hassan Saad Ali","Lebanon","Forward","26-30",0
"Hassan Sameeh Chaitou","Lebanon","Defender","31-35",0
"Hilal El-Helwe","Lebanon","Forward","26-30",0
"Hussein Al Zain","Lebanon","Defender","26-30",0
"Kassem Al Zein","Lebanon","Defender","31-35",0
"Khalil Khamis","Lebanon","Defender","26-30",0
"Maher Sabra","Lebanon","Defender","31-35",0
"Mehdi Khalil","Lebanon","Goalkeeper","31-35",0
"Mohamad Haidar","Lebanon","Forward","31-35",0
"Mostafa Matar","Lebanon","Goalkeeper","26-30",0
"Nassar Nassar","Lebanon","Defender","31-35",0
"Nour Mansour","Lebanon","Defender","31-35",0
"Omar Bugiel","Lebanon","Forward","26-30",0
"Rayane Hamidou","Saudi Arabia","Midfielder","21-25",0
"Ahmad Khuzaimi bin Piee","Malaysia","Defender","26-30",0
"Ahmad Syihan Hazmi Mohamed","Malaysia","Goalkeeper","26-30",0
"Arif Aiman Hanapi","Malaysia","Midfielder","21-25",1
"Brendan Gan Seng Ling","Malaysia","Forward","31-35",0
"Daniel Sang Ting","Malaysia","Defender","26-30",0
"Darren Yee Deng Lok","Malaysia","Forward","31-35",0
"Dominic Tan Jun Jin","Malaysia","Defender","26-30",0
"Matthew Davies","Malaysia","Defender","26-30",0
"Mohamad Faisal bin Abdul Halim","Malaysia","Midfielder","21-25",1
"Muhammad Afiq bin Fazail","Malaysia","Midfielder","26-30",0
"Muhammad Akhyar Abd Rashid","Malaysia","Midfielder","21-25",0
"Muhammad Azri Bin Abdul Ghani","Malaysia","Goalkeeper","21-25",0
"Muhammad Syahmi bin Safari","Malaysia","Midfielder","21-25",0
"Muhd Safawi Rasid","Malaysia","Forward","26-30",0
"Putera Nadher Amarhan Maderner","Malaysia","Midfielder","31-35",0
"Shahrul bin Mohd Saad","Malaysia","Defender","26-30",0
"Sikh Izhan Nazrel bin Sikh Azhan","Malaysia","Midfielder","21-25",0
"Daniel Lajud Martínez","Lebanon","Forward","21-25",0
"Rafael Struick","Indonesia","Forward","16-20",0
"Ivar Jenner","Indonesia","Midfielder","16-20",0
"Justin Hubner","Indonesia","Defender","16-20",1
"Marc Klok","Indonesia","Midfielder","26-30",0
"Sandy Walsh","Indonesia","Defender","26-30",1
"Shayne Pattynama","Indonesia","Midfielder","21-25",0
"Michael Udebuluzor","Hong Kong","Forward","16-20",0
"Look Saa Nicholas K. Mickelson","Thailand","Defender","21-25",0
"Abdul Aziz Bubarak Zayid Gheilani","Oman","Defender","26-30",0
"Abdullah Fawaz","Oman","Forward","26-30",0
"Ahmed Faraj Abdulla Al Rawahi","Oman","Goalkeeper","26-30",0
"Ahmed Khalifa Said Al Kaabi","Oman","Midfielder","26-30",0
"Ahmed Mohammed Khalfan Al Khamisi","Oman","Defender","31-35",0
"Ali Sulaiman Rashid Al Busaidi","Oman","Defender","31-35",0
"Fahmi Said Rajab Durbein","Oman","Defender","26-30",0
"Faiyz Issa Khadoom Al Rashidi","Oman","Goalkeeper","31-35",0
"Ghanim Ramadhan Bashir Al Habashi","Oman","Midfielder","21-25",0
"Harib Jamil Zaid Al Saadi","Oman","Midfielder","31-35",0
"Ibrahim Saleh Al Mukhaini","Oman","Goalkeeper","26-30",0
"Jameel Al Yahmadi","Oman","Midfielder","26-30",0
"Khalid Al-Braiki","Oman","Defender","26-30",0
"Mahmood Mabrook Nasib Al Mushaifri","Oman","Defender","26-30",0
"Mataz Saleh Abd Raboh","Oman","Midfielder","26-30",0
"Muhsen Saleh Abdullah Ali Al Ghassani","Oman","Forward","26-30",1
"Omer Mohammed Rashid Malki","Oman","Midfielder","26-30",0
"Salaah Said Salim Al-Yahyaei","Oman","Midfielder","26-30",1
"Tameem Haitham Shambeh Al Balushi","Oman","Midfielder","21-25",0
"Zahir Sulaiman Abdullah Al Aghbari","Oman","Midfielder","21-25",0
"Al Mahdi Issa","Palestine","Midfielder","21-25",0
"Baraa Kharoub","Palestine","Midfielder","21-25",0
"Ikram Rami Hamadeh","Palestine","Goalkeeper","26-30",0
"Islam Batran","Palestine","Midfielder","26-30",0
"Mahmoud Abu Warda","Palestine","Forward","26-30",0
"Mahmoud Wadi","Palestine","Forward","26-30",0
"Mohammed Bassim","Palestine","Defender","26-30",0
"Mohammed Khalil","Palestine","Defender","21-25",0
"Mohammed Saleh","Palestine","Defender","26-30",0
"Mus'ab Al Battat","Palestine","Midfielder","26-30",2
"Musa Firawi","Palestine","Defender","26-30",0
"Naim Abuaker","Palestine","Goalkeeper","26-30",0
"Oday Dabbagh","Palestine","Forward","21-25",3
"Oday Kharoub","Palestine","Midfielder","26-30",0
"Samer Jondi","Palestine","Defender","26-30",0
"Shihab Qinbar","Palestine","Midfielder","21-25",0
"Tamer Seyam","Palestine","Midfielder","26-30",1
"Zaid A. Q. Qunbar","Palestine","Midfielder","16-20",1
"Abdulaziz Hatem Mohammed Abdullah","Qatar","Midfielder","31-35",1
"Ahmed Alaaeldin Abdelmotaal","Qatar","Forward","26-30",0
"Ahmed Alganehi","Qatar","Defender","21-25",0
"Ahmed Fathy","Qatar","Midfielder","26-30",1
"Akram Hassan Afif","Qatar","Forward","26-30",11
"Ali Assadalla Thaimn Qambar","Qatar","Midfielder","26-30",0
"Almahdi Ali Mukhtar","Qatar","Defender","31-35",0
"Almoez Ali Zainalabiddin Abdulla","Qatar","Forward","26-30",4
"Bassam Hisham Al Rawi","Qatar","Midfielder","21-25",0
"Boualem Khoukhi","Qatar","Defender","31-35",0
"Hassan Khalid Al Haidos","Qatar","Forward","31-35",3
"Homam Ahmed Ahmed","Qatar","Defender","21-25",0
"Ismaeel Mohammad Mohammad","Qatar","Forward","31-35",0
"Jassem Gaber Abdulsallam","Qatar","Defender","21-25",1
"Khalid Mohammed","Qatar","Midfielder","21-25",0
"Khalid Muneer Mazeed","Qatar","Forward","21-25",0
"Meshaal Aissa Barsham","Qatar","Goalkeeper","21-25",0
"Mohammed Waed Abdulwahhab","Qatar","Midfielder","21-25",1
"Pedro Miguel Correia","Qatar","Defender","31-35",0
"Saad Abdullah Al Sheeb","Qatar","Goalkeeper","31-35",0
"Salah Zakaria Hassan","Qatar","Goalkeeper","21-25",0
"Sultan Hussain Al-Brake","Qatar","Defender","26-30",0
"Tarek Salman Salman","Qatar","Midfielder","21-25",0
"Youssef Abdel Razaq Youssef","Qatar","Midfielder","21-25",0
"Alisher Dzhalilov","Tajikistan","Midfielder","26-30",0
"Abdulelah Al Malki","Saudi Arabia","Midfielder","26-30",0
"Abdullah Alkhaibari","Saudi Arabia","Midfielder","26-30",0
"Abdullah Hadi Radif","Saudi Arabia","Midfielder","21-25",1
"Abdulrahman Ghareeb","Saudi Arabia","Midfielder","26-30",1
"Ahmed Ali Al Kassar","Saudi Arabia","Goalkeeper","31-35",0
"Ali Alawjami","Saudi Arabia","Defender","26-30",1
"Ali Albulayhi","Saudi Arabia","Defender","31-35",1
"Awn Mutlaq Al Slaluli","Saudi Arabia","Defender","21-25",0
"Eid Mohammed Saeed Al Muwallad","Saudi Arabia","Midfielder","21-25",0
"Fawaz Al Sagourq","Saudi Arabia","Midfielder","26-30",0
"Firas Albirakan","Saudi Arabia","Forward","21-25",0
"Hasan Kadesh","Saudi Arabia","Defender","26-30",0
"Hassan Mohammed Al Tambakti","Saudi Arabia","Defender","21-25",0
"Mohammed Al Burayk","Saudi Arabia","Defender","26-30",0
"Mohammed Al Yami","Saudi Arabia","Goalkeeper","21-25",0
"Mohammed Kanoo","Saudi Arabia","Midfielder","26-30",1
"Nasser Al Dawsari","Saudi Arabia","Midfielder","21-25",0
"Raghid Alaa Najjar","Saudi Arabia","Goalkeeper","26-30",0
"Saleh Khalid Al Shehri","Saudi Arabia","Forward","26-30",0
"Salem Mohammed Al Dawsari","Saudi Arabia","Midfielder","31-35",1
"Sami Khalil Al Naji","Saudi Arabia","Midfielder","26-30",0
"Saud Abdullah Abdul Hamid","Saudi Arabia","Defender","21-25",1
"Talal Abubakr Haji","Saudi Arabia","Midfielder","16-20",0
"Harry Souttar","Australia","Defender","21-25",1
"Martin Boyle","Australia","Forward","26-30",2
"Bum-Keun Song","South Korea","Goalkeeper","21-25",0
"Hee-Chan Hwang","South Korea","Forward","26-30",1
"Heung-Min Son","South Korea","Forward","31-35",3
"Hyeon-seok Hong","South Korea","Midfielder","21-25",0
"Hyun-Gyu Oh","South Korea","Forward","21-25",0
"Hyun-Jun Yang","South Korea","Midfielder","21-25",0
"Hyun-Woo Cho","South Korea","Goalkeeper","31-35",0
"In-Beom Hwang","South Korea","Midfielder","26-30",2
"Jae-Sung Lee","South Korea","Midfielder","26-30",0
"Ji-Soo Kim","South Korea","Midfielder","16-20",0
"Jin-Seop Park","South Korea","Midfielder","26-30",0
"Jin-Su Kim","South Korea","Defender","31-35",0
"Ju-sung Kim","South Korea","Defender","21-25",0
"Ki-Je Lee","South Korea","Defender","31-35",0
"Kyu-Sung Cho","South Korea","Forward","21-25",1
"Lee Kang-in","South Korea","Midfielder","21-25",4
"Min-Jae Kim","South Korea","Defender","26-30",1
"Seon-Min Moon","South Korea","Midfielder","31-35",0
"Seung-Gyu Kim","South Korea","Goalkeeper","31-35",0
"Seung-Hyeon Jung","South Korea","Defender","26-30",0
"Soon-Min Lee","South Korea","Defender","26-30",0
"Tae-Hwan Kim","South Korea","Defender","31-35",0
"Woo-Yeong Jeong","South Korea","Midfielder","21-25",1
"Yong-Woo Park","South Korea","Midfielder","26-30",1
"Young-Gwon Kim","South Korea","Defender","31-35",0
